date,open,high,low,close,change_pct
2022-08-30,1564.75,1565.13,1533.7,1542.03,-1.1
2022-08-31,1548.51,1553.83,1530.22,1530.61,-0.74
2022-09-01,1521.13,1536.03,1510.2,1534.87,0.28
2022-09-02,1550.05,1554.69,1511.17,1518.91,-1.04
2022-09-06,1522.3,1525.68,1503.63,1512.43,-0.43
2022-09-07,1511.27,1542.99,1510.69,1539.89,1.82
2022-09-08,1528.87,1551.4,1525.39,1549.38,0.62
2022-09-09,1559.34,1577.04,1557.69,1573.26,1.54
2022-09-12,1589.03,1600.54,1587.67,1597.92,1.57
2022-09-13,1562.05,1566.97,1523.93,1528.78,-4.33
2022-09-14,1533.41,1539.8,1520.07,1533.81,0.33
2022-09-15,1526.93,1538.35,1510.79,1515.62,-1.19
2022-09-16,1499.86,1506.62,1490.77,1504.31,-0.75
2022-09-19,1490.96,1515.71,1490.96,1515.71,0.76
2022-09-20,1502.28,1505.86,1486.89,1498.31,-1.15
2022-09-21,1503.83,1517.94,1471.81,1471.81,-1.77
2022-09-22,1468.33,1472.48,1456.05,1458.85,-0.88
2022-09-23,1444.44,1444.44,1416.01,1435.06,-1.63
2022-09-26,1427.62,1442.8,1414.94,1419.97,-1.05
2022-09-27,1434.58,1443.47,1406.53,1416.2,-0.27
2022-09-28,1420.36,1451.02,1413.3,1443.18,1.91
2022-09-29,1428.78,1430.12,1401.4,1414.17,-2.01
2022-09-30,1409.53,1425.19,1391.54,1394.44,-1.4
2022-10-03,1406.24,1435.64,1399.47,1426.93,2.33
2022-10-04,1452.08,1471.62,1450.24,1471.13,3.1
2022-10-05,1454.31,1477.71,1445.02,1468.71,-0.16
2022-10-06,1462.62,1474.33,1451.31,1453.24,-1.05
2022-10-07,1436.41,1437.67,1405.28,1413.11,-2.76
2022-10-10,1417.16,1417.85,1392.7,1402.28,-0.77
2022-10-11,1394.15,1413.11,1384.87,1392.89,-0.67
2022-10-12,1394.54,1400.43,1387.29,1388.44,-0.32
2022-10-13,1358.56,1430.32,1354.88,1424.13,2.57
2022-10-14,1434.38,1440.87,1389.51,1392.41,-2.23
2022-10-17,1416.78,1431.96,1416.78,1427.33,2.51
2022-10-18,1460.02,1460.98,1430.52,1444.24,1.18
2022-10-19,1434.87,1446.95,1422.59,1434.29,-0.69
2022-10-20,1431.87,1449.47,1418.42,1421.62,-0.88
2022-10-21,1419.49,1458.08,1414.85,1456.43,2.45
2022-10-24,1462.91,1478.48,1451.5,1473.16,1.15
2022-10-25,1473.79,1498.6,1473.55,1497.15,1.63
2022-10-26,1484.29,1507.6,1483.32,1485.84,-0.76
2022-10-27,1490.82,1497.24,1475.3,1477.81,-0.54
2022-10-28,1477.13,1515.04,1477.04,1512.82,2.37
2022-10-31,1502.57,1510.2,1498.4,1502.28,-0.7
2022-11-01,1516.88,1517.94,1490.47,1495.21,-0.47
2022-11-02,1492.7,1510.6,1457.69,1457.69,-2.51
2022-11-03,1442.51,1453.83,1433.32,1442.03,-1.07
2022-11-04,1464.94,1472.01,1437.47,1462.23,1.4
2022-11-07,1467.94,1478.38,1459.14,1476.16,0.95
2022-11-08,1480.81,1495.8,1467.27,1483.61,0.5
2022-11-09,1474.22,1479.84,1450.83,1452.86,-2.07
2022-11-10,1506.72,1533.7,1497.54,1532.07,5.45
2022-11-11,1536.61,1551.02,1528.67,1547.44,1.0
2022-11-14,1540.18,1554.12,1533.99,1534.19,-0.86
2022-11-15,1558.37,1562.14,1531.96,1547.44,0.86
2022-11-16,1539.99,1544.24,1532.84,1534.96,-0.81
2022-11-17,1515.23,1532.74,1514.17,1530.52,-0.29
2022-11-18,1543.18,1543.18,1525.3,1537.77,0.47
2022-11-21,1531.96,1535.55,1524.22,1530.9,-0.45
2022-11-22,1539.12,1551.98,1533.12,1551.12,1.32
2022-11-23,1549.57,1562.62,1548.8,1560.2,0.59
2022-11-25,1558.56,1562.53,1557.31,1560.6,0.03
2022-11-28,1547.44,1554.12,1532.07,1535.84,-1.59
2022-11-29,1534.96,1539.99,1524.9,1532.64,-0.21
2022-11-30,1532.93,1579.07,1525.48,1579.07,3.03
2022-12-01,1584.29,1588.68,1568.62,1578.96,-0.01
2022-12-02,1559.05,1580.32,1559.05,1576.45,-0.16
2022-12-05,1564.56,1568.71,1542.7,1548.21,-1.79
2022-12-06,1547.44,1549.28,1517.07,1526.16,-1.42
2022-12-07,1521.13,1532.26,1518.33,1522.68,-0.23
2022-12-08,1529.36,1538.44,1523.55,1533.99,0.74
2022-12-09,1529.74,1539.41,1522.3,1522.88,-0.72
2022-12-12,1538.06,1557.2,1535.55,1557.2,2.25
2022-12-13,1601.02,1601.02,1558.08,1568.62,0.73
2022-12-14,1567.65,1581.87,1546.95,1559.14,-0.6
2022-12-15,1538.55,1541.35,1512.05,1519.39,-2.55
2022-12-16,1507.02,1513.01,1491.54,1500.24,-1.26
2022-12-19,1501.02,1502.17,1480.7,1487.58,-0.84
2022-12-20,1484.29,1495.6,1478.67,1488.84,0.08
2022-12-21,1499.28,1515.91,1497.54,1511.37,1.51
2022-12-22,1497.54,1499.09,1465.62,1489.22,-1.47
2022-12-23,1485.06,1498.02,1478.38,1497.06,0.53
2022-12-27,1497.35,1498.12,1484.67,1491.35,-0.38
2022-12-28,1491.25,1498.51,1472.01,1472.59,-1.26
2022-12-29,1483.81,1501.88,1481.48,1497.83,1.71
2022-12-30,1486.51,1493.95,1478.48,1493.86,-0.27
2023-01-03,1501.21,1509.05,1476.07,1487.87,-0.4
2023-01-04,1496.77,1507.11,1484.67,1498.8,0.73
2023-01-05,1489.8,1490.29,1478.78,1481.29,-1.17
2023-01-06,1493.86,1519.78,1481.78,1514.75,2.26
2023-01-09,1523.84,1536.99,1513.39,1513.79,-0.06
2023-01-10,1511.94,1524.62,1507.79,1524.33,0.7
2023-01-11,1531.38,1543.77,1527.71,1543.47,1.26
2023-01-12,1547.73,1554.4,1531.1,1548.51,0.33
2023-01-13,1535.93,1556.62,1534.38,1554.31,0.37
2023-01-17,1554.98,1560.88,1548.6,1551.31,-0.19
2023-01-18,1556.29,1560.11,1525.68,1526.36,-1.61
2023-01-19,1517.07,1524.22,1509.43,1514.65,-0.77
2023-01-20,1518.91,1543.57,1513.68,1542.89,1.86
2023-01-23,1546.47,1569.2,1542.61,1561.46,1.2
2023-01-24,1554.6,1563.2,1549.66,1559.91,-0.1
2023-01-25,1541.35,1561.17,1533.52,1559.72,-0.01
2023-01-26,1570.45,1577.04,1558.08,1576.36,1.07
2023-01-27,1572.1,1589.61,1571.42,1580.03,0.23
2023-01-30,1568.71,1577.42,1558.85,1560.2,-1.26
2023-01-31,1562.05,1582.45,1560.6,1582.45,1.43
2023-02-01,1577.04,1610.31,1566.92,1599.18,1.06
2023-02-02,1614.56,1627.9,1606.91,1621.23,1.38
2023-02-03,1601.5,1622.3,1599.76,1604.6,-1.03
2023-02-06,1594.63,1599.95,1587.87,1594.92,-0.6
2023-02-07,1590.87,1620.07,1585.73,1615.33,1.28
